"","lon","lat"
"1",121.1710389,14.9967842
"2",-77.0947092,38.984652
"3",-3.7037902,40.4167754
"8",-83.753428,9.748917
"11",-77.066923,39.1531627
"12",-69.9312117,18.4860575
"14",-0.1266861,41.2625896
"16",-95.712891,37.09024
"18",121.774017,12.879721
"19",-71.5723953,43.1938516
"21",-73.9441579,40.6781784
"22",-123.206834,39.14758
"24",-84.2963123,33.7748275
"26",-119.7871247,36.7377981
"27",-74.4056612,40.0583238
"28",-95.973124,36.746805
"29",-66.590149,18.220833
"31",-119.4179324,36.778261
"36",-91.9222598,44.9035894
"42",-78.8233664,42.8256141
"54",-94.7353649,37.0248437
"55",-75.3099136,38.7776124
"56",-57.575926,-25.2637399
"57",-115.1398296,36.1699412
"59",-82.907123,40.4172871
"60",-94.6858998,46.729553
"62",-96.7969879,32.7766642
"63",-97.245723,37.7402585
"65",-8.6117851,41.1238759
"66",-99.133208,19.4326077
"67",-79.3831843,43.653226
"68",-79.8761741,34.2998762
"69",-73.8272029,40.705695
"71",-84.8229074,32.3912672
"73",47.481766,29.31166
"76",31.3784704,31.0409483
"78",-122.6818141,45.5103152
"80",-74.8909988,39.934002
"82",-82.9987942,39.9611755
"83",-85.1904971,32.8687391
"88",-64.2839209,-36.6147573
"90",-79.9958864,40.4406248
"96",-17.1484521,14.7974583
"99",121.3084088,14.6037446
"106",10.451526,51.165691
"109",-95.712891,37.09024
"115",-66.2605176,18.0022251
"116",-80.8431267,35.2270869
"118",-84.3879824,33.7489954
"119",32.7637742,39.9581299
"121",-73.75842,42.8484378
"123",-80.8431267,35.2270869
"124",-40.6445003,-20.8006985
"125",-73.6280092,45.5904267
"126",28.9783589,41.0082376
"127",121.0793705,14.1007803
"130",-106.346771,56.130366
"131",-0.1277583,51.5073509
"133",-96.1103695,36.138286
"134",-91.8318334,37.9642529
"135",-102.2915677,21.8852562
"136",-80.7898089,41.8650534
"137",-42.0540813,-22.0606933
"139",-95.1152088,29.5552311
"141",-59.5411941,13.1775864
"144",121.0176092,14.5976323
"147",27.142826,38.423734
"148",-103.3496092,20.6596988
"150",38.996815,34.802075
"152",6.184417,48.692054
"156",121.774017,12.879721
"157",-71.5723953,43.1938516
"159",-82.7365677,40.7875572
"173",-81.3792365,28.5383355
"174",-1.5822484,47.2156177
"177",120.9842195,14.5995124
"180",103.819836,1.352083
"181",-114.9768853,36.0399391
"182",125.455341,7.190708
"183",-83.753428,9.748917
"185",35.8479094,32.5569557
"186",-73.2452103,-39.8195857
"187",-95.712891,37.09024
"188",-110.9433888,32.2606898
"189",-75.2128996,39.9757092
"190",22.937506,-30.559482
"191",-70.6692655,-33.4488897
"192",-78.8783689,42.8864468
"193",-67.4822429,-45.8656149
"195",-76.195499,40.6856456
"196",-66.9036063,10.4805937
"198",-68.71545,18.6127833
"199",-97.4394777,35.2225668
"201",10.451526,51.165691
"202",-81.5157535,27.6648274
"204",-122.4194155,37.7749295
"208",-98.2062727,19.0414398
"211",-79.2579947,34.9170625
"212",-97.3182234,32.7222803
"214",-1.128462,53.52282
"217",-81.682247,41.5003192
"218",-118.2436849,34.0522342
"224",-118.383295,34.064166
"225",-72.6733723,41.7658043
"230",-80.0728201,26.4614625
"232",-74.4056612,40.0583238
"233",-79.7625625,34.1954331
"234",-74.961517,39.8519447
"235",-86.8436124,34.1748208
"236",-84.5555347,42.732535
"238",-88.89653,13.794185
"240",-122.4350492,37.7713763
"242",-93.7501789,32.5251516
"243",-3.435973,55.378051
"244",120.6199895,15.079409
"245",-111.8097425,41.745161
"246",-73.8519319,7.0617085
"248",-61.9690161,-33.7455566
"249",-74.0031157,40.7066093
"250",-73.4620685,40.7009337
"252",-86.0886366,11.9704485
"253",-94.548266,37.0990248
"254",-90.1994042,38.6270025
"255",-99.1773847,19.4270037
"256",-149.4936733,64.2008413
"258",-121.4943996,38.5815719
"259",-112.0647342,33.4879427
"260",-121.7816704,42.224867
"261",-111.8366145,39.7089497
"270",-79.0215336,-8.1090524
"271",-89.3648183,40.1483768
"272",-75.232664,43.100903
"273",-87.9064736,43.0389025
"278",-81.1637245,33.836081
"281",-86.2361744,12.1149926
"282",-93.2650108,44.977753
"284",32.8311742,39.9569832
"295",-78.2252911,40.948946
"296",-90.5068824,14.6349149
"297",-0.1277583,51.5073509
"298",-116.7330573,32.5082115
"299",-122.3320708,47.6062095
"300",-74.4049778,40.4316955
"301",-73.8648268,40.8447819
"304",109.6745916,-6.8898362
"305",-98.4936282,29.4241219
"306",5.1432068,44.0565054
"307",-107.4338866,32.4507852
"308",4.2484966,52.0561939
"309",-81.5157535,27.6648274
"310",-85.323214,51.253775
"311",-43.1728965,-22.9068467
"312",-62.2663478,-38.7183177
"314",-71.6126885,-33.047238
"315",-51.92528,-14.235004
"316",-95.6194559,37.0332889
"317",121.1028546,14.65073
"318",-98.3207035,29.5738305
"319",110.402376,-7.7325213
"324",-80.6326916,25.5516034
"325",-95.711818,37.2241425
"326",121.0508645,14.5176184
"329",-86.8950297,41.7075394
"330",-83.0457538,42.331427
"339",-108.0807978,34.9932711
"342",-121.8863286,37.3382082
"344",-84.5037164,38.0405837
"350",115.7026866,-32.5483077
"352",-84.3640829,33.7589188
"354",-2.13125,49.214439
"356",-122.6252431,45.5049376
"357",-74.0059728,40.7127753
"358",-71.542969,-35.675147
"359",-93.0899578,44.9537029
"361",-84.0712997,34.0514898
"362",-157.8583333,21.3069444
"366",-59.543198,13.193887
"367",120.9842195,14.5995124
"371",-73.9441579,40.6781784
"372",28.9783589,41.0082376
"374",-9.135404,39.4048977
"375",-82.9987942,39.9611755
"376",-81.6943605,41.49932
"377",39.1925048,21.485811
"378",121.0359174,14.5794443
"381",2.3522219,48.856614
"383",144.9630576,-37.8136276
"386",-97.7430608,30.267153
"387",10.540841,55.453087
"391",-5.8593267,43.3613953
"394",-110.9747108,32.2226066
"399",-80.4934035,41.2331116
"400",-95.895984,36.20652
"401",121.031126,14.656626
"404",-74.0059728,40.7127753
"405",-84.3365917,33.8651033
"407",-71.4531836,43.0407729
"408",-119.4179324,36.778261
"409",-84.5120196,39.1031182
"410",-90.7881835,14.3009252
"411",8.227512,46.818188
"414",121.5141615,13.8949151
"415",-6.0131301,37.3820725
"416",-78.6568942,21.4691137
"417",3.0175712,39.6952629
"418",-100.8709878,37.4567666
"419",53.847818,23.424076
"420",-69.9312117,18.4860575
"422",-79.3831843,43.653226
"424",-82.6015206,34.829838
"425",-79.5198696,8.9823792
"426",-111.5764087,40.2532608
"427",-73.7948516,40.7282239
"429",-73.298408,41.7040641
"431",-85.6811017,42.9851272
"432",-122.4345661,47.103988
"434",-60.0757751,-31.5799737
"435",-84.3490846,33.7171504
"436",-74.4056612,40.0583238
"442",119.8583772,16.2229069
"443",-8.7207268,42.2405989
"444",-84.4382721,10.391583
"447",-122.4781917,37.7236257
